Inicio(seg) Duracao(seg) Banda(Kbps) PortaCli PortaServ
68 33 4403 3722 5222
20 107 892 3723 5223
32 38 3171 3724 5224
33 95 225 3725 5225
7 93 4132 3726 5226
22 13 335 3727 5227
32 85 517 3728 5228
116 110 7973 3729 5229
1 62 2300 3730 5230
8 108 3208 3731 5231
0 117 931 3732 5232
11 3 1500 3733 5233
10 4 877 3734 5234
3 49 11945 3735 5235
69 52 601 3736 5236
20 71 2326 3737 5237
5 90 4136 3738 5238
5 28 1762 3739 5239
5 87 2083 3740 5240
9 23 716 3741 5241
7 71 2719 3742 5242
6 60 1674 3743 5243
21 85 1167 3744 5244
25 60 1078 3745 5245
17 2 159 3746 5246
18 97 1574 3747 5247
4 27 4813 3748 5248
4 82 898 3749 5249
29 98 232 3750 5250
15 58 5710 3751 5251
20 63 3950 3752 5252
2 40 20 3753 5253
21 92 3419 3754 5254
25 69 4566 3755 5255
20 58 2347 3756 5256
27 3 3103 3757 5257
5 47 1685 3758 5258
4 118 1697 3759 5259
8 118 3663 3760 5260
16 79 5164 3761 5261
105 74 1208 3762 5262
11 112 54 3763 5263
7 41 323 3764 5264
7 86 1274 3765 5265
6 110 2272 3766 5266
24 95 12605 3767 5267
15 57 3031 3768 5268
57 69 6471 3769 5269
13 71 498 3770 5270
18 52 767 3771 5271
69 12 234 3772 5272
87 114 913 3773 5273
8 86 4927 3774 5274
36 101 1773 3775 5275
11 11 824 3776 5276
0 96 529 3777 5277
3 47 4862 3778 5278
5 90 5628 3779 5279
6 19 802 3780 5280
16 33 1228 3781 5281
2 1 3541 3782 5282
28 91 164 3783 5283
28 44 528 3784 5284
46 7 1137 3785 5285
35 108 1208 3786 5286
8 80 579 3787 5287
63 111 4083 3788 5288
2 27 312 3789 5289
58 57 568 3790 5290
111 59 2437 3791 5291
0 52 41 3792 5292
2 57 1940 3793 5293
24 27 2536 3794 5294
36 115 2510 3795 5295
24 71 2188 3796 5296
10 21 918 3797 5297
11 47 396 3798 5298
1 88 8818 3799 5299
13 102 2933 3800 5300
9 36 1261 3801 5301
1 108 627 3802 5302
5 61 373 3803 5303
45 84 4134 3804 5304
33 97 2954 3805 5305
4 39 1852 3806 5306
5 102 6047 3807 5307
49 9 2496 3808 5308
11 101 25 3809 5309
3 48 1045 3810 5310
18 91 2252 3811 5311
7 111 2400 3812 5312
3 98 5611 3813 5313
8 63 2886 3814 5314
16 44 2307 3815 5315
20 75 438 3816 5316
6 60 2043 3817 5317
2 17 3461 3818 5318
10 14 1173 3819 5319
7 113 1014 3820 5320
26 39 547 3821 5321
1 4 1996 3822 5322
28 29 181 3823 5323
12 26 2179 3824 5324
13 111 328 3825 5325
1 11 370 3826 5326
6 41 2158 3827 5327
7 37 106 3828 5328
70 102 1602 3829 5329
3 83 271 3830 5330
0 47 362 3831 5331
14 28 981 3832 5332
23 26 344 3833 5333
33 12 817 3834 5334
4 55 1879 3835 5335
9 12 7086 3836 5336
97 69 539 3837 5337
42 68 1389 3838 5338
7 2 2502 3839 5339
11 78 3332 3840 5340
8 19 1239 3841 5341
4 29 1788 3842 5342
9 58 1121 3843 5343
9 44 460 3844 5344
34 19 2358 3845 5345
57 35 2334 3846 5346
21 17 1292 3847 5347
10 63 266 3848 5348
2 50 1076 3849 5349
42 31 1216 3850 5350
0 93 3035 3851 5351
50 102 418 3852 5352
10 14 200 3853 5353
36 99 2051 3854 5354
4 36 657 3855 5355
2 104 9353 3856 5356
31 62 840 3857 5357
37 106 3795 3858 5358
1 52 2724 3859 5359
6 30 1729 3860 5360
55 112 1815 3861 5361
55 113 1753 3862 5362
1 54 78 3863 5363
44 42 424 3864 5364
86 16 1388 3865 5365
10 119 327 3866 5366
21 82 842 3867 5367
5 21 1267 3868 5368
23 103 114 3869 5369
3 91 269 3870 5370
80 98 4318 3871 5371
5 89 2824 3872 5372
3 101 35 3873 5373
11 44 948 3874 5374
11 101 2369 3875 5375
6 88 226 3876 5376
17 86 5175 3877 5377
49 30 2202 3878 5378
2 37 1232 3879 5379
0 101 1603 3880 5380
21 23 5367 3881 5381
0 4 4270 3882 5382
0 2 7 3883 5383
8 46 718 3884 5384
35 54 7743 3885 5385
13 97 2290 3886 5386
5 67 68 3887 5387
4 16 2220 3888 5388
50 99 516 3889 5389
41 118 1295 3890 5390
26 24 172 3891 5391
29 13 3205 3892 5392
20 7 289 3893 5393
9 46 638 3894 5394
56 34 4135 3895 5395
26 87 1403 3896 5396
2 104 139 3897 5397
41 14 501 3898 5398
28 94 595 3899 5399
17 115 2508 3900 5400
68 82 254 3901 5401
17 11 695 3902 5402
1 73 444 3903 5403
26 78 592 3904 5404
44 62 434 3905 5405
18 67 4412 3906 5406
24 86 562 3907 5407
0 35 1247 3908 5408
4 43 86 3909 5409
62 53 289 3910 5410
47 33 414 3911 5411
4 85 3854 3912 5412
114 29 4090 3913 5413
9 115 1330 3914 5414
5 49 2700 3915 5415
12 93 1954 3916 5416
53 13 1209 3917 5417
36 111 1712 3918 5418
18 37 1482 3919 5419
2 3 386 3920 5420
76 111 75 3921 5421
11 29 245 3922 5422
40 94 1090 3923 5423
30 33 1226 3924 5424
21 102 1171 3925 5425
4 92 1894 3926 5426
10 101 3479 3927 5427
17 79 1064 3928 5428
56 62 275 3929 5429
5 27 4100 3930 5430
40 29 2242 3931 5431
4 22 1145 3932 5432
35 118 1284 3933 5433
6 46 104 3934 5434
22 113 26 3935 5435
7 117 945 3936 5436
3 30 958 3937 5437
12 39 1350 3938 5438
7 72 3281 3939 5439
49 115 348 3940 5440
9 60 888 3941 5441
0 37 1047 3942 5442
14 2 569 3943 5443
17 24 1268 3944 5444
19 71 2908 3945 5445
9 78 1663 3946 5446
5 24 1967 3947 5447
16 69 3612 3948 5448
39 20 1596 3949 5449
0 23 1788 3950 5450
2 72 4529 3951 5451
4 31 4740 3952 5452
5 88 1604 3953 5453
36 95 1225 3954 5454
10 58 2938 3955 5455
12 101 3021 3956 5456
16 17 29 3957 5457
2 22 2327 3958 5458
19 26 154 3959 5459
71 61 4057 3960 5460
43 22 1720 3961 5461
6 116 3858 3962 5462
20 107 765 3963 5463
2 84 122 3964 5464
0 41 422 3965 5465
14 108 612 3966 5466
53 42 4512 3967 5467
10 35 2583 3968 5468
0 31 1953 3969 5469
23 66 6404 3970 5470
33 33 8928 3971 5471
29 1 2658 3972 5472
33 49 2875 3973 5473
36 17 126 3974 5474
12 14 2352 3975 5475
13 112 1256 3976 5476
20 82 916 3977 5477
0 104 894 3978 5478
20 30 3896 3979 5479
31 74 794 3980 5480
73 36 89 3981 5481
16 23 447 3982 5482
21 41 2470 3983 5483
11 116 3587 3984 5484
23 103 1998 3985 5485
30 116 532 3986 5486
10 77 2095 3987 5487
3 15 3467 3988 5488
8 74 1418 3989 5489
22 14 2095 3990 5490
42 92 551 3991 5491
17 34 2283 3992 5492
4 47 642 3993 5493
7 80 3285 3994 5494
37 34 386 3995 5495
13 116 452 3996 5496
13 54 1751 3997 5497
6 37 3576 3998 5498
7 39 1868 3999 5499
20 35 1297 4000 5500
4 62 2800 4001 5501
13 61 4089 4002 5502
1 114 1970 4003 5503
14 29 1785 4004 5504
30 91 511 4005 5505
24 92 1093 4006 5506
2 114 3023 4007 5507
1 98 1927 4008 5508
38 46 9268 4009 5509
20 5 497 4010 5510
19 4 1119 4011 5511
14 72 4124 4012 5512
12 55 729 4013 5513
0 24 279 4014 5514
0 35 3245 4015 5515
35 83 5071 4016 5516
16 83 1325 4017 5517
13 61 646 4018 5518
9 37 4829 4019 5519
11 35 1566 4020 5520
20 70 1079 4021 5521
19 5 3727 4022 5522
15 63 584 4023 5523
2 40 701 4024 5524
68 45 1673 4025 5525
14 53 2200 4026 5526
2 21 239 4027 5527
21 10 395 4028 5528
24 38 122 4029 5529
29 90 3978 4030 5530
22 102 3077 4031 5531
26 64 2320 4032 5532
18 94 2645 4033 5533
11 28 2089 4034 5534
10 105 3038 4035 5535
4 83 1693 4036 5536
40 99 2818 4037 5537
10 24 508 4038 5538
16 112 8673 4039 5539
75 111 708 4040 5540
18 44 896 4041 5541
50 20 3774 4042 5542
11 74 252 4043 5543
22 24 290 4044 5544
8 30 882 4045 5545
1 99 3520 4046 5546
31 33 1338 4047 5547
0 3 1480 4048 5548
2 66 5313 4049 5549
6 15 1299 4050 5550
31 2 261 4051 5551
13 112 7539 4052 5552
59 20 2177 4053 5553
25 54 505 4054 5554
19 17 201 4055 5555
60 12 281 4056 5556
30 77 15198 4057 5557
2 3 445 4058 5558
32 69 4584 4059 5559
5 94 2210 4060 5560
5 113 94 4061 5561
37 59 3540 4062 5562
6 16 2714 4063 5563
9 91 3462 4064 5564
12 84 4823 4065 5565
0 88 19 4066 5566
4 63 656 4067 5567
6 18 585 4068 5568
19 87 265 4069 5569
1 23 1872 4070 5570
5 50 2693 4071 5571
69 109 493 4072 5572
3 38 1858 4073 5573
0 94 370 4074 5574
50 43 653 4075 5575
1 27 1914 4076 5576
12 107 1918 4077 5577
27 11 7689 4078 5578
11 111 1644 4079 5579
11 15 6 4080 5580
7 54 487 4081 5581
50 31 561 4082 5582
13 90 837 4083 5583
4 108 2754 4084 5584
7 41 115 4085 5585
43 110 25 4086 5586
14 86 28 4087 5587
35 43 1714 4088 5588
53 104 4046 4089 5589
10 110 2436 4090 5590
4 77 927 4091 5591
4 50 4906 4092 5592
33 2 631 4093 5593
25 89 4032 4094 5594
19 75 3400 4095 5595
39 96 688 4096 5596
5 20 783 4097 5597
2 98 405 4098 5598
19 46 1286 4099 5599
9 22 1702 4100 5600
3 83 6312 4101 5601
0 94 12 4102 5602
78 18 303 4103 5603
44 15 2170 4104 5604
21 89 20 4105 5605
37 74 1089 4106 5606
10 64 6516 4107 5607
48 63 133 4108 5608
15 110 5338 4109 5609
79 56 3891 4110 5610
0 90 1643 4111 5611
36 119 5470 4112 5612
23 41 3008 4113 5613
14 12 267 4114 5614
62 68 651 4115 5615
19 17 712 4116 5616
229 11 37 4117 5617
13 65 1994 4118 5618
31 67 104 4119 5619
0 63 611 4120 5620
90 22 765 4121 5621
24 108 1591 4122 5622
27 44 429 4123 5623
6 32 2142 4124 5624
11 75 2996 4125 5625
25 12 1058 4126 5626
32 91 1516 4127 5627
7 107 3470 4128 5628
53 65 1688 4129 5629
4 89 2600 4130 5630
3 30 1287 4131 5631
14 75 1933 4132 5632
126 75 224 4133 5633
1 83 3536 4134 5634
23 23 3433 4135 5635
7 88 129 4136 5636
51 83 873 4137 5637
6 56 206 4138 5638
10 49 384 4139 5639
16 102 2027 4140 5640
13 53 4209 4141 5641
5 72 581 4142 5642
5 2 4511 4143 5643
30 116 582 4144 5644
4 79 1435 4145 5645
3 99 5942 4146 5646
1 23 1055 4147 5647
3 6 202 4148 5648
20 11 427 4149 5649
30 70 905 4150 5650
5 22 1275 4151 5651
56 83 2305 4152 5652
59 20 242 4153 5653
30 14 4927 4154 5654
0 23 3390 4155 5655
8 67 1019 4156 5656
34 93 1097 4157 5657
20 2 1453 4158 5658
22 39 3667 4159 5659
2 21 780 4160 5660
94 70 3785 4161 5661
33 66 84 4162 5662
2 60 318 4163 5663
7 91 89 4164 5664
15 101 1878 4165 5665
12 110 1312 4166 5666
17 113 73 4167 5667
4 93 1561 4168 5668
29 44 2237 4169 5669
2 42 357 4170 5670
111 80 2815 4171 5671
0 87 2718 4172 5672
0 59 2182 4173 5673
24 36 1291 4174 5674
5 1 132 4175 5675
2 34 92 4176 5676
104 29 6838 4177 5677
72 77 5518 4178 5678
9 105 6401 4179 5679
5 41 26 4180 5680
21 71 488 4181 5681
3 55 939 4182 5682
7 74 3664 4183 5683
58 93 4869 4184 5684
8 28 2152 4185 5685
2 84 6214 4186 5686
3 64 656 4187 5687
38 61 191 4188 5688
4 10 229 4189 5689
46 51 4040 4190 5690
34 75 2828 4191 5691
7 68 446 4192 5692
1 51 519 4193 5693
13 98 753 4194 5694
13 39 2227 4195 5695
11 19 3581 4196 5696
2 1 584 4197 5697
19 7 2749 4198 5698
26 32 21 4199 5699
54 35 2344 4200 5700
4 35 1543 4201 5701
28 68 3384 4202 5702
21 113 1513 4203 5703
11 67 218 4204 5704
23 14 877 4205 5705
11 48 5071 4206 5706
5 5 2348 4207 5707
2 29 738 4208 5708
11 81 3765 4209 5709
5 1 3772 4210 5710
1 53 530 4211 5711
2 64 151 4212 5712
16 104 195 4213 5713
1 5 2386 4214 5714
12 29 2818 4215 5715
7 13 613 4216 5716
5 50 1189 4217 5717
0 100 437 4218 5718
1 74 1905 4219 5719
13 108 2090 4220 5720
2 44 1612 4221 5721
1 88 4011 4222 5722
31 72 4331 4223 5723
4 117 3962 4224 5724
13 36 4424 4225 5725
7 48 2352 4226 5726
3 53 1115 4227 5727
1 8 2174 4228 5728
15 28 3096 4229 5729
1 44 811 4230 5730
13 5 438 4231 5731
7 102 1843 4232 5732
0 58 634 4233 5733
0 12 63 4234 5734
1 85 1726 4235 5735
16 73 95 4236 5736
5 32 3775 4237 5737
12 94 4730 4238 5738
9 86 2694 4239 5739
15 83 3739 4240 5740
77 6 1934 4241 5741
6 43 381 4242 5742
0 99 366 4243 5743
4 26 660 4244 5744
7 11 1838 4245 5745
14 47 1984 4246 5746
16 65 621 4247 5747
64 38 1871 4248 5748
4 93 1360 4249 5749
26 8 9223 4250 5750
1 89 2069 4251 5751
5 91 5975 4252 5752
45 51 402 4253 5753
5 66 7416 4254 5754
7 93 419 4255 5755
29 28 449 4256 5756
10 84 554 4257 5757
6 73 136 4258 5758
1 107 13176 4259 5759
12 24 486 4260 5760
2 20 10817 4261 5761
18 62 780 4262 5762
19 24 665 4263 5763
11 63 2813 4264 5764
7 47 271 4265 5765
4 117 146 4266 5766
12 12 2494 4267 5767
24 40 617 4268 5768
13 66 2390 4269 5769
16 7 359 4270 5770
10 59 4 4271 5771
5 65 480 4272 5772
0 99 2410 4273 5773
4 74 7737 4274 5774
0 85 168 4275 5775
18 61 16 4276 5776
31 52 754 4277 5777
13 98 858 4278 5778
6 69 3420 4279 5779
3 26 2915 4280 5780
15 8 8920 4281 5781
21 29 5342 4282 5782
56 96 7479 4283 5783
17 15 735 4284 5784
24 57 1798 4285 5785
57 40 7243 4286 5786
23 1 1245 4287 5787
29 70 7408 4288 5788
8 33 1198 4289 5789
2 70 1773 4290 5790
17 63 649 4291 5791
0 42 935 4292 5792
1 64 136 4293 5793
5 38 1492 4294 5794
9 53 842 4295 5795
51 58 884 4296 5796
2 77 667 4297 5797
2 49 4216 4298 5798
25 22 94 4299 5799
17 49 2105 4300 5800
40 52 1082 4301 5801
0 77 125 4302 5802
12 92 4839 4303 5803
3 108 1447 4304 5804
11 10 782 4305 5805
16 94 421 4306 5806
6 3 3886 4307 5807
9 103 1652 4308 5808
3 19 2068 4309 5809
19 49 591 4310 5810
49 86 2777 4311 5811
13 1 2292 4312 5812
20 94 563 4313 5813
48 10 533 4314 5814
25 71 40 4315 5815
20 29 2687 4316 5816
4 89 4168 4317 5817
6 71 416 4318 5818
12 89 6947 4319 5819
74 45 1371 4320 5820
2 34 1135 4321 5821
15 94 776 4322 5822
4 83 2962 4323 5823
4 115 312 4324 5824
16 2 2692 4325 5825
15 101 338 4326 5826
33 71 1700 4327 5827
3 60 1347 4328 5828
68 24 2901 4329 5829
23 53 4909 4330 5830
14 7 1338 4331 5831
11 44 2891 4332 5832
18 102 1902 4333 5833
11 8 3642 4334 5834
15 88 1975 4335 5835
9 96 301 4336 5836
20 68 33 4337 5837
4 58 206 4338 5838
27 96 4134 4339 5839
47 85 1031 4340 5840
9 107 4667 4341 5841
1 2 1356 4342 5842
60 34 2181 4343 5843
28 101 354 4344 5844
26 6 678 4345 5845
8 114 4925 4346 5846
43 51 2827 4347 5847
2 66 2235 4348 5848
10 22 64 4349 5849
10 96 909 4350 5850
4 41 1285 4351 5851
45 30 2428 4352 5852
49 47 872 4353 5853
29 110 3354 4354 5854
24 73 3381 4355 5855
0 69 111 4356 5856
1 76 524 4357 5857
11 22 61 4358 5858
32 8 5791 4359 5859
63 48 2353 4360 5860
18 10 139 4361 5861
17 34 2006 4362 5862
15 6 1214 4363 5863
44 27 10597 4364 5864
53 63 229 4365 5865
3 37 55 4366 5866
3 22 247 4367 5867
36 11 1409 4368 5868
30 41 2582 4369 5869
9 103 375 4370 5870
18 75 271 4371 5871
1 105 424 4372 5872
24 66 3187 4373 5873
22 6 2620 4374 5874
45 65 643 4375 5875
25 67 235 4376 5876
5 48 892 4377 5877
12 115 1464 4378 5878
24 2 1635 4379 5879
48 6 211 4380 5880
3 13 1448 4381 5881
72 95 1301 4382 5882
0 78 4452 4383 5883
6 108 1068 4384 5884
16 118 5657 4385 5885
39 110 504 4386 5886
13 30 2939 4387 5887
0 105 104 4388 5888
1 86 367 4389 5889
8 76 1491 4390 5890
9 72 5198 4391 5891
24 25 462 4392 5892
48 32 445 4393 5893
38 25 4072 4394 5894
81 37 2610 4395 5895
0 115 2857 4396 5896
7 64 431 4397 5897
28 79 3300 4398 5898
0 48 112 4399 5899
94 85 357 4400 5900
11 84 834 4401 5901
11 38 3160 4402 5902
4 85 700 4403 5903
37 110 154 4404 5904
42 11 349 4405 5905
7 5 315 4406 5906
13 74 720 4407 5907
11 19 5673 4408 5908
54 86 471 4409 5909
8 86 2105 4410 5910
9 87 4882 4411 5911
14 63 1837 4412 5912
13 71 517 4413 5913
2 90 8 4414 5914
5 19 8282 4415 5915
7 112 5441 4416 5916
6 90 1132 4417 5917
22 102 538 4418 5918
23 20 957 4419 5919
0 109 961 4420 5920
11 24 77 4421 5921
7 19 1056 4422 5922
4 20 96 4423 5923
0 55 1215 4424 5924
3 87 6368 4425 5925
10 12 2066 4426 5926
0 37 331 4427 5927
69 52 5265 4428 5928
10 68 1039 4429 5929
61 66 840 4430 5930
8 110 494 4431 5931
6 67 808 4432 5932
26 114 332 4433 5933
0 104 1697 4434 5934
25 39 545 4435 5935
26 9 1370 4436 5936
27 113 2265 4437 5937
43 58 693 4438 5938
11 1 1581 4439 5939
38 66 2203 4440 5940
3 4 460 4441 5941
9 42 208 4442 5942
13 24 2554 4443 5943
4 62 594 4444 5944
22 95 371 4445 5945
83 107 134 4446 5946
10 109 4633 4447 5947
17 9 2381 4448 5948
1 89 536 4449 5949
11 63 2089 4450 5950
1 109 3466 4451 5951
26 2 345 4452 5952
22 83 6657 4453 5953
86 6 2128 4454 5954
22 15 1159 4455 5955
8 24 352 4456 5956
0 34 1962 4457 5957
38 68 3167 4458 5958
3 71 746 4459 5959
18 18 1232 4460 5960
68 45 7986 4461 5961
17 44 157 4462 5962
17 65 6259 4463 5963
7 40 3150 4464 5964
12 102 1591 4465 5965
3 41 792 4466 5966
12 49 2923 4467 5967
5 71 6884 4468 5968
17 110 1770 4469 5969
20 11 2170 4470 5970
20 75 2056 4471 5971
6 38 266 4472 5972
1 33 351 4473 5973
48 18 262 4474 5974
29 43 1201 4475 5975
29 76 2081 4476 5976
14 14 158 4477 5977
28 115 1637 4478 5978
4 23 54 4479 5979
9 92 371 4480 5980
63 112 6640 4481 5981
11 57 2328 4482 5982
7 21 1803 4483 5983
87 92 1163 4484 5984
26 91 135 4485 5985
0 5 4759 4486 5986
12 5 122 4487 5987
17 18 42 4488 5988
1 63 3108 4489 5989
110 11 2228 4490 5990
11 119 306 4491 5991
1 77 3099 4492 5992
33 51 70 4493 5993
3 100 5141 4494 5994
9 74 2066 4495 5995
6 29 85 4496 5996
0 40 3525 4497 5997
1 58 4657 4498 5998
2 84 74 4499 5999
50 22 2573 4500 6000
Maior duracao (segundos): 240
